,date,predictions
335,2017-12-02,46.885242
336,2017-12-03,46.247055
337,2017-12-04,45.74702
338,2017-12-05,45.415356
339,2017-12-06,45.257317
340,2017-12-07,45.244953
341,2017-12-08,45.31593
342,2017-12-09,45.38428
343,2017-12-10,45.362087
344,2017-12-11,45.184727
345,2017-12-12,44.822186
346,2017-12-13,44.27896
347,2017-12-14,43.592113
348,2017-12-15,42.820896
349,2017-12-16,42.034626
350,2017-12-17,41.29672
351,2017-12-18,40.656494
352,2017-12-19,40.14925
353,2017-12-20,39.796528
354,2017-12-21,39.60785
355,2017-12-22,39.585297
356,2017-12-23,39.724358
357,2017-12-24,40.005817
358,2017-12-25,40.386345
359,2017-12-26,40.799282
360,2017-12-27,41.170315
361,2017-12-28,41.44035
362,2017-12-29,41.580574
363,2017-12-30,41.59555
364,2017-12-31,41.508827
365,2018-01-01,41.353024
366,2018-01-02,41.159946
367,2018-01-03,40.95673
368,2018-01-04,40.75883
369,2018-01-05,40.57491
370,2018-01-06,40.41363
371,2018-01-07,40.28093
372,2018-01-08,40.17045
373,2018-01-09,40.06474
374,2018-01-10,39.950855
375,2018-01-11,39.836746
376,2018-01-12,39.758587
377,2018-01-13,39.767796
378,2018-01-14,39.91191
379,2018-01-15,40.221672
380,2018-01-16,40.69774
381,2018-01-17,41.30637
382,2018-01-18,41.98753
383,2018-01-19,42.66463
384,2018-01-20,43.259182
385,2018-01-21,43.71202
386,2018-01-22,43.989548
387,2018-01-23,44.076157
388,2018-01-24,43.96935
389,2018-01-25,43.678776
390,2018-01-26,43.232304
391,2018-01-27,42.68082
392,2018-01-28,42.09724
393,2018-01-29,41.550755
394,2018-01-30,41.086945
395,2018-01-31,40.726112
396,2018-02-01,40.47348
397,2018-02-02,40.336082
398,2018-02-03,40.321423
399,2018-02-04,40.429146
400,2018-02-05,40.643986
401,2018-02-06,40.929096
402,2018-02-07,41.116604
403,2018-02-08,41.00238
404,2018-02-09,40.46518
405,2018-02-10,39.522778
406,2018-02-11,38.314247
407,2018-02-12,37.039074
408,2018-02-13,35.897224
409,2018-02-14,35.04825
410,2018-02-15,34.59372
411,2018-02-16,34.570175
412,2018-02-17,34.95331
413,2018-02-18,35.672314
414,2018-02-19,36.633034
415,2018-02-20,37.743534
416,2018-02-21,38.928555
417,2018-02-22,40.13192
418,2018-02-23,41.307487
419,2018-02-24,42.412
420,2018-02-25,43.40009
421,2018-02-26,44.22678
422,2018-02-27,44.850212
423,2018-02-28,45.240524
424,2018-03-01,45.392612
425,2018-03-02,45.33306
426,2018-03-03,45.12108
427,2018-03-04,44.82692
428,2018-03-05,44.519768
429,2018-03-06,44.259647
430,2018-03-07,44.10066
431,2018-03-08,44.085976
432,2018-03-09,44.246906
433,2018-03-10,44.60235
434,2018-03-11,45.160267
435,2018-03-12,45.918205
436,2018-03-13,46.856564
437,2018-03-14,47.92423
438,2018-03-15,49.042778
439,2018-03-16,50.12329
440,2018-03-17,51.081615
441,2018-03-18,51.846085
442,2018-03-19,52.36775
443,2018-03-20,52.6379
444,2018-03-21,52.691673
445,2018-03-22,52.596004
446,2018-03-23,52.432335
447,2018-03-24,52.27111
448,2018-03-25,52.15005
449,2018-03-26,52.07221
450,2018-03-27,52.01683
451,2018-03-28,51.960495
452,2018-03-29,51.900604
453,2018-03-30,51.86317
454,2018-03-31,51.88549
455,2018-04-01,52.003353
456,2018-04-02,52.24302
457,2018-04-03,52.614166
458,2018-04-04,53.115654
459,2018-04-05,53.724552
460,2018-04-06,54.399467
461,2018-04-07,55.079605
462,2018-04-08,55.744595
463,2018-04-09,56.242485
